post_title,post_excerpt,post_content,sku,regular_price,tax:product_type,tax:product_cat,attribute:pa_chain,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_diamonds,attribute:pa_lock,attribute:pa_material,attribute:pa_measure,attribute_data:pa_measure,attribute_default:pa_measure
E001151-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",E001151-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,18 mm,,18 mm
P001146-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",P001146-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,18 mm,,18 mm
P001147-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",P001147-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,18 mm,,18 mm
P001149-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",P001149-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,18 mm,,18 mm
P001151-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",P001151-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,18 mm,,18 mm
E000816-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",E000816-B-W,"128,00",simple,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,18 mm,,18 mm
E000816-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",E000816-G-W,"128,00",simple,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,18 mm,,18 mm
E000817-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",E000817-B-W,"128,00",simple,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,18 mm,,18 mm
E000817-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",E000817-G-W,"128,00",simple,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,18 mm,,18 mm
E000818-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",E000818-B-W,"128,00",simple,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,18 mm,,18 mm
E000818-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",E000818-G-W,"128,00",simple,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,18 mm,,18 mm
CL005 BS,,,CL005 BS VARIABLE,"234,00",variable,TF HOMME,,BS | R | W,0|1|1,BS,,,,19 mm,,19 mm
PF052 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF052 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | DBS | R,0|1|1,DB,,,,19 mm,,19 mm
PF054 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF054 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | GR | R,0|1|1,DB,,,,19 mm,,19 mm
PF055 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF055 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | GR | W,0|1|1,DB,,,,19 mm,,19 mm
PF050 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF050 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | R | W,0|1|1,DB,,,,19 mm,,19 mm
PF051 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF051 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | R | W,0|1|1,DB,,,,19 mm,,19 mm
PF053 DBS,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF053 DBS VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DBS | GR | R,0|1|1,DBS,,,,19 mm,,19 mm
R001149-G-LB,"Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.","Olga is our young, fresh and contemporary collection. Olga offers matching earrings, pendants and rings in gold plates silver with semi precious stone, jade, onyx and white agate. Match colors or mix and match, the choice is yours.",R001149-G-LB VARIABLE,"108,00",variable,Eggs > Olga,,G-LB | G-V | G-Y,0|1|1,G-LB,,,,19 mm,,19 mm
CL002 LB,,,CL002 LB VARIABLE,"234,00",variable,TF HOMME,,LB | GR | W,0|1|1,LB,,,,19 mm,,19 mm
804-M,"The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.","The Tabble Eggs collection gathers artistic skills, from the processing of metal to the decoration of porcelains, to the working skills of crystal.",804-M VARIABLE,"296,00",variable,Tabble Eggs,,M|A|B,0|1|1,M,,,Porcelain and metal,20 cm,,20 cm
CL006 DBS,,,CL006 DBS VARIABLE,"214,00",variable,TF HOMME,,DBS | GRS | RS,0|1|1,DBS,,,,20 mm,,20 mm
CL003 LBS,,,CL003 LBS VARIABLE,"234,00",variable,TF HOMME,,LBS | R | W,0|1|1,LBS,,,,20 mm,,20 mm
R000816-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",R000816-B-W,"128,00",simple,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,20 mm,,20 mm
R000816-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",R000816-G-W,"128,00",simple,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,20 mm,,20 mm
R000817-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",R000817-B-W,"128,00",simple,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,20 mm,,20 mm
R000817-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",R000817-G-W,"128,00",simple,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,20 mm,,20 mm
R000818-B-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",R000818-B-W,"128,00",simple,Eggs > Alexandra,,,,B-W,,,Black rhodium silver with white agate,20 mm,,20 mm
R000818-G-W,"Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.","Our Alexandra collection is inspired to the ""Coronation Egg"" and Baroque decorations, which details are strongly inspired to the Russian goldsmith tradition.",R000818-G-W,"128,00",simple,Eggs > Alexandra,,,,G-W,,,Gold plated silver with white agate,20 mm,,20 mm
PF006 B,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF006 B VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,B | BS | DB | GR | R | W,0|1|1,B,,,,22 mm,,22 mm
23929 B,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23929 B VARIABLE,"214,00",variable,Eggs > Anastasija,,B | DB | DBS | R | W,0|1|1,B,,,,22 mm,,22 mm
23802 B,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23802 B VARIABLE,"214,00",variable,Eggs > Anastasija,,B | DB | R,0|1|1,B,,,,22 mm,,22 mm
01482 B,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,01482 B VARIABLE,"214,00",variable,Eggs > Emperor,,B | DB | R | W,0|1|1,B,,,,22 mm,,22 mm
PF019 B,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF019 B VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,B | DB | TB,0|1|1,B,,,,22 mm,,22 mm
PF026 B,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF026 B VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,B | GR,0|1|1,B,,,,22 mm,,22 mm
23782 B,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23782 B VARIABLE,"214,00",variable,Eggs > Anastasija,,B | GR | R | W,0|1|1,B,,,,22 mm,,22 mm
PF024 B,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF024 B VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,B | R,0|1|1,B,,,,22 mm,,22 mm
PF030 B,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF030 B VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,B | R,0|1|1,B,,,,22 mm,,22 mm
PF004 B,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF004 B VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,B | R | TB,0|1|1,B,,,,22 mm,,22 mm
23910 BG,"The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.",23910 BG VARIABLE,"214,00",variable,Eggs > Anastasija,,BG | BS | DB | DBS | DV | GR | R | W,0|1|1,BG,,,,22 mm,,22 mm
63006 BG,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.,63006 BG VARIABLE,"214,00",variable,Eggs > Emperor,,BG | BS | DBS | R,0|1|1,BG,,,,22 mm,,22 mm
PF031 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF031 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | B,0|1|1,DB,,,,22 mm,,22 mm
PF015 DB,"In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.",PF015 DB VARIABLE,"214,00",variable,Eggs > Peter Carl Fabergé,,DB | B | GR | R | W,0|1|1,DB,,,,22 mm,,22 mm
